n,side,seed,sectors,neighbors,Optimal Total,Optimal Connected,Optimal Fairness (in),Optimal Fairness (out),Brendan Total,Brendan Connected,Brendan Fairness (in),Brendan Fairness (out),MinSpanTree Total,MinSpanTree Connected,MinSpanTree Fairness (in),MinSpanTree Fairness (out),K-nearest Total,K-nearest Connected,K-nearest Fairness (in),K-nearest Fairness (out),Prim's Total,Prim's Connected,Prim's Fairness (in),Prim's Fairness (out)
8,30000,1532,8,3,5.95E+08,TRUE,0.644538606,0.898293963,5.70E+08,TRUE,0.721153846,0.827205882,4.70E+08,TRUE,0.849615385,0.865595611,5.50E+08,TRUE,0.93595297,0.933641975,4.90E+08,FALSE,0.718002392,0.730231144
8,30000,1532,8,3,5.95E+08,TRUE,0.644538606,0.898293963,5.70E+08,TRUE,0.721153846,0.827205882,4.70E+08,TRUE,0.849615385,0.865595611,5.50E+08,TRUE,0.93595297,0.933641975,4.90E+08,FALSE,0.718002392,0.730231144
8,30000,1532,8,3,5.95E+08,TRUE,0.644538606,0.898293963,5.70E+08,TRUE,0.721153846,0.827205882,4.70E+08,TRUE,0.849615385,0.865595611,5.50E+08,TRUE,0.93595297,0.933641975,4.90E+08,FALSE,0.718002392,0.730231144
8,30000,1532,8,3,5.95E+08,TRUE,0.644538606,0.898293963,5.70E+08,TRUE,0.721153846,0.827205882,4.70E+08,TRUE,0.849615385,0.865595611,5.50E+08,TRUE,0.93595297,0.933641975,4.90E+08,FALSE,0.718002392,0.730231144
8,30000,1532,8,3,5.95E+08,TRUE,0.644538606,0.898293963,5.70E+08,TRUE,0.721153846,0.827205882,4.70E+08,TRUE,0.849615385,0.865595611,5.50E+08,TRUE,0.93595297,0.933641975,4.90E+08,FALSE,0.718002392,0.730231144
10,30000,1532,8,3,1.17E+09,TRUE,0.756359595,0.808687616,1.13E+09,TRUE,0.679107726,0.802700965,7.30E+08,TRUE,0.845873016,0.866504065,1.07E+09,TRUE,0.821305595,0.870646388,9.70E+08,TRUE,0.718792972,0.787364017
10,30000,1532,8,3,1.17E+09,TRUE,0.756359595,0.808687616,1.13E+09,TRUE,0.679107726,0.802700965,7.30E+08,TRUE,0.845873016,0.866504065,1.07E+09,TRUE,0.821305595,0.870646388,9.70E+08,TRUE,0.718792972,0.787364017
10,30000,1532,8,3,1.17E+09,TRUE,0.756359595,0.808687616,1.13E+09,TRUE,0.679107726,0.802700965,7.30E+08,TRUE,0.845873016,0.866504065,1.07E+09,TRUE,0.821305595,0.870646388,9.70E+08,TRUE,0.718792972,0.787364017
10,30000,1532,8,3,1.17E+09,TRUE,0.756359595,0.808687616,1.13E+09,TRUE,0.679107726,0.802700965,7.30E+08,TRUE,0.845873016,0.866504065,1.07E+09,TRUE,0.821305595,0.870646388,9.70E+08,TRUE,0.718792972,0.787364017
10,30000,1532,8,3,1.17E+09,TRUE,0.756359595,0.808687616,1.13E+09,TRUE,0.679107726,0.802700965,7.30E+08,TRUE,0.845873016,0.866504065,1.07E+09,TRUE,0.821305595,0.870646388,9.70E+08,TRUE,0.718792972,0.787364017
12,30000,1532,8,3,1.44E+09,TRUE,0.71862795,0.787202381,1.43E+09,TRUE,0.703899226,0.850833965,9.10E+08,TRUE,0.856714256,0.896794455,1.36E+09,TRUE,0.899785951,0.938121323,1.16E+09,FALSE,0.783016376,0.84910254
12,30000,1532,8,3,1.44E+09,TRUE,0.71862795,0.787202381,1.43E+09,TRUE,0.703899226,0.850833965,9.10E+08,TRUE,0.856714256,0.896794455,1.36E+09,TRUE,0.899785951,0.938121323,1.16E+09,FALSE,0.783016376,0.84910254
12,30000,1532,8,3,1.44E+09,TRUE,0.71862795,0.787202381,1.43E+09,TRUE,0.703899226,0.850833965,9.10E+08,TRUE,0.856714256,0.896794455,1.36E+09,TRUE,0.899785951,0.938121323,1.16E+09,FALSE,0.783016376,0.84910254
12,30000,1532,8,3,1.44E+09,TRUE,0.71862795,0.787202381,1.43E+09,TRUE,0.703899226,0.850833965,9.10E+08,TRUE,0.856714256,0.896794455,1.36E+09,TRUE,0.899785951,0.938121323,1.16E+09,FALSE,0.783016376,0.84910254
12,30000,1532,8,3,1.44E+09,TRUE,0.71862795,0.787202381,1.43E+09,TRUE,0.703899226,0.850833965,9.10E+08,TRUE,0.856714256,0.896794455,1.36E+09,TRUE,0.899785951,0.938121323,1.16E+09,FALSE,0.783016376,0.84910254
14,30000,1532,8,3,1.99E+09,TRUE,0.795542998,0.873819587,1.99E+09,TRUE,0.819903239,0.837874585,1.32E+09,TRUE,0.886532004,0.905377104,1.87E+09,FALSE,0.913819376,0.965114666,1.50E+09,TRUE,0.849286569,0.882868203
14,30000,1532,8,3,1.99E+09,TRUE,0.795542998,0.873819587,1.99E+09,TRUE,0.819903239,0.837874585,1.32E+09,TRUE,0.886532004,0.905377104,1.87E+09,FALSE,0.913819376,0.965114666,1.50E+09,TRUE,0.849286569,0.882868203
